Year-Month,District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses,rainfall_river,rainfall_district,riverlevel_district
140,0,29.0,3,67.2175,0,0,1.3,7.0,3.1256250000000003,72.1,1949.3075000000001,0.0,0.0
230,0,12.59999966621399,3,67.0944999974966,0,0,0.4066848201634628,1.3556160672115427,2.7112321344230854,446.64,845.3906775732517,0.0,0.0
231,0,171.40000092983246,3,68.26360002231598,0,0,1.0084478607492788,3.3614928691642625,6.722985738328525,446.64,11700.38110729867,0.0,0.0
232,0,114.19999845325948,3,67.61574999419972,0,0,0.7904772263115072,2.634924087705024,5.269848175410048,446.64,7721.718544753588,0.0,0.0
233,0,450.2000004053116,3,71.35,2,1,10.352410721885306,34.50803573961769,69.01607147923538,690.1607147923538,32121.770028918978,0.0,0.0
234,0,69.59999978542328,3,67.44849999919533,0,0,0.6223312491910266,2.074437497303422,4.148874994606844,446.64,4694.415585471117,0.0,0.0
240,0,231.4000008851289,3,69.70360002124309,1,0,1.2411621462901783,4.137207154300596,8.274414308601191,446.64,16129.413106612321,0.0,0.0
241,0,548.2000011950731,3,71.35,2,1,12.189910736693337,40.63303578897778,81.26607157795556,812.6607157795556,39114.07008526847,0.0,0.0
242,0,196.19999915361404,3,68.85879997968674,0,0,1.1046364252886602,3.682121417628868,7.364242835257735,446.64,13510.096497733417,0.0,0.0
243,0,148.89999997615814,3,67.7458749999106,0,0,0.921299330267257,3.0709977675575235,6.141995535115047,446.64,10087.3607858715,0.0,0.0
244,0,73.79999899864197,3,67.4642499962449,0,0,0.6381656212247908,2.127218737415969,4.2544374748319385,446.64,4978.8615821670055,0.0,0.0
250,0,163.0999990105629,3,68.06439997625351,0,0,0.98,4.823,6.508371402987412,65.08371402987412,11101.303568781505,0.0,0.0
251,0,137.60000099241734,3,67.70350000372156,0,0,0.98,4.823,5.857982167800488,58.57982167800488,9316.001667702214,0.0,0.0
252,0,176.59999883174896,3,68.38839997196197,0,0,1.0286164240402833,4.823,6.857442826935223,68.57442826935223,12077.391355153666,0.0,0.0
253,0,638.0999960899353,3,71.35,2,1,13.875535640972,46.25178546990667,92.50357093981334,925.0357093981332,45528.43472101688,0.0,0.0
254,0,22.40000009536743,3,67.16800000071525,0,0,0.98,4.823,2.9588571452668733,29.58857145266873,1504.5632064216613,0.0,0.0
260,0,11.399999856948853,3,67.08549999892712,0,0,0.4021366066006677,1.3404553553355592,2.6809107106711183,26.80910710671118,764.7746903911114,0.0,0.0
